edition_date,periodId,team,team_source,rank,points,confederation
2026-04-01,20260401,Turks and Caicos Islands,Turks and Caicos Islands,205,804,
2026-04-01,20260401,Liechtenstein,Liechtenstein,206,804,
2026-04-01,20260401,Bahamas,Bahamas,207,787,
2026-04-01,20260401,British Virgin Islands,British Virgin Islands,208,782,
2026-04-01,20260401,U.S. Virgin Islands,U.S. Virgin Islands,209,780,
2026-04-01,20260401,Anguilla,Anguilla,210,760,
2026-04-01,20260401,San Marino,San Marino,211,726,
2026-01-19,20260119,Spain,Spain,1,1877,UEFA
2026-01-19,20260119,Argentina,Argentina,2,1873,CONMEBOL
2026-01-19,20260119,France,France,3,1870,UEFA
2026-01-19,20260119,England,England,4,1834,UEFA
2026-01-19,20260119,Brazil,Brazil,5,1760,CONMEBOL
2026-01-19,20260119,Portugal,Portugal,6,1760,UEFA
2026-01-19,20260119,Netherlands,Netherlands,7,1756,UEFA
2026-01-19,20260119,Morocco,Morocco,8,1737,CAF
2026-01-19,20260119,Belgium,Belgium,9,1731,UEFA
2026-01-19,20260119,Germany,Germany,10,1724,UEFA
2026-01-19,20260119,Croatia,Croatia,11,1717,UEFA
2026-01-19,20260119,Senegal,Senegal,12,1707,CAF
2026-01-19,20260119,Italy,Italy,13,1702,
2026-01-19,20260119,Colombia,Colombia,14,1701,CONMEBOL
2026-01-19,20260119,United States,USA,15,1682,CONCACAF
2026-01-19,20260119,Mexico,Mexico,16,1676,CONCACAF
2026-01-19,20260119,Uruguay,Uruguay,17,1673,CONMEBOL
2026-01-19,20260119,Switzerland,Switzerland,18,1655,UEFA
2026-01-19,20260119,Japan,Japan,19,1650,AFC
2026-01-19,20260119,Iran,Iran,20,1617,AFC
2026-01-19,20260119,Denmark,Denmark,21,1617,
2026-01-19,20260119,South Korea,South Korea,22,1599,AFC
2026-01-19,20260119,Ecuador,Ecuador,23,1592,CONMEBOL
2026-01-19,20260119,Austria,Austria,24,1586,UEFA
2026-01-19,20260119,Turkey,Turkiye,25,1583,UEFA
2026-01-19,20260119,Nigeria,Nigeria,26,1582,
2026-01-19,20260119,Australia,Australia,27,1574,AFC
2026-01-19,20260119,Algeria,Algeria,28,1561,CAF
2026-01-19,20260119,Canada,Canada,29,1559,CONCACAF
2026-01-19,20260119,Ukraine,Ukraine,30,1557,
2026-01-19,20260119,Egypt,Egypt,31,1557,CAF
2026-01-19,20260119,Norway,Norway,32,1553,UEFA
2026-01-19,20260119,Panama,Panama,33,1539,CONCACAF
2026-01-19,20260119,Poland,Poland,34,1532,
2026-01-19,20260119,Wales,Wales,35,1530,
2026-01-19,20260119,Russia,Russia,36,1525,
2026-01-19,20260119,Ivory Coast,Ivory Coast,37,1522,CAF
2026-01-19,20260119,Scotland,Scotland,38,1507,UEFA
2026-01-19,20260119,Serbia,Serbia,39,1506,
2026-01-19,20260119,Paraguay,Paraguay,40,1502,CONMEBOL
